title,company,location,date,deadline,url,department,workplace_type,staff_type,internal_external,description,requirements
מנהל/ת יחידת תקציבי מחקר- רשות המחקר (JB-1361),אוניברסיטת תל אביב,תל אביב,2026-06-24,2026-07-02,https://www.tau.ac.il/JB-1361/2026/position,רשות המחקר,onsite,administrative,פנימי,,
אחראי/ת מעבדת הוראה -הנדסת רקמות (JB-1345),אוניברסיטת תל אביב,תל אביב,2026-06-12,2026-07-01,https://www.tau.ac.il/position/jb-1345/2026,הפקולטה להנדסה,onsite,administrative,חיצוני,,
רכז/ת תלמידים וקבלה לתואר שני (JB-1338),אוניברסיטת תל אביב,תל אביב,2026-06-23,2026-07-01,https://www.tau.ac.il/JB-1338/position/2026,הפקולטה לניהול,onsite,administrative,חיצוני,,
רכז/ת תלמידים בכיר/ה לתואר ראשון (JB-1359),אוניברסיטת תל אביב,תל אביב,2026-06-22,2026-06-30,https://www.tau.ac.il/position/jb-1359/2026,הפקולטה להנדסה,onsite,administrative,פנימי,,
אחראי/ת מנהלי/ת החוג לערבית (JB-1354),אוניברסיטת תל אביב,תל אביב,2026-06-19,2026-06-28,https://www.tau.ac.il/JB-1354/position/2026,הפקולטה למדעי הרוח,onsite,administrative,חיצוני,,
"רכז/ת תלמידים/ות החוג לסוציולוגיה ואנתרופולוגיה ביה""ס לחברה ולמדיניות (JB-1349)",אוניברסיטת תל אביב,תל אביב,2026-06-22,2026-06-28,https://www.tau.ac.il/position/jb-1349/2026,הפקולטה למדעי החברה,onsite,administrative,חיצוני,,
"מנהל/ת טכני/ת למעבדת הוראה שנה ג'- ביה""ס לפיזיקה ואסטרונומיה (JB-1358)",אוניברסיטת תל אביב,תל אביב,2026-06-17,2026-06-28,https://www.tau.ac.il/JB-1358/position/2026,הפקולטה למדעים מדויקים,onsite,administrative,פנימי,,
"מ""מ רכז/ת כוח אדם- מדור כוח אדם ובקרה",אוניברסיטת תל אביב,תל אביב,2026-06-15,2026-06-28,https://www.tau.ac.il/JB-1347/position/2026,אגף משאבי אנוש,onsite,administrative,חיצוני,,
רכז/ת נסיעות וזכויות אקדמיות (JB-1342),אוניברסיטת תל אביב,תל אביב,2026-06-15,2026-06-28,https://www.tau.ac.il/JB-1342/position/2026,אגף משאבי אנוש,onsite,administrative,חיצוני,,
"עובד/ת בית מלאכה לניפוח זכוכית- ביה""ס לכימיה (JB-1340)",אוניברסיטת תל אביב,תל אביב,2026-06-15,2026-06-28,https://www.tau.ac.il/JB-1340/position/2026,הפקולטה למדעים מדויקים,onsite,administrative,חיצוני,,
רכז/ת אדמיניסטרטיבי/ת לשכת דקאן וראשת מינהל (JB-1344),אוניברסיטת תל אביב,תל אביב,2026-06-22,2026-06-28,https://www.tau.ac.il/position/jb-1344/2026,הפקולטה להנדסה,onsite,administrative,חיצוני,,
"רכז/ת הדרכה ומינהל, מדור ייעוץ ארגוני, הדרכה ורווחה (JB-1233)",אוניברסיטת תל אביב,תל אביב,2026-06-09,2026-06-28,https://www.tau.ac.il/JB-1233/position/2025,אגף משאבי אנוש,onsite,administrative,חיצוני,,
עובד/ת תחזוקה (JB-1278),אוניברסיטת תל אביב,תל אביב,2026-06-16,2026-06-28,https://www.tau.ac.il/position/jb-1278/2026,הפקולטה להנדסה,onsite,administrative,חיצוני,,
"רכז/ת התוכנית לפיתוח בר קיימה ביה""ס לחברה ומדיניות (JB-1293)",אוניברסיטת תל אביב,תל אביב,2026-06-16,2026-06-28,https://www.tau.ac.il/position/jb-1293/2026,בית הספר ללימודי חברה ומדיניות,onsite,administrative,חיצוני,,
חשב/ת שכר- יחידת השכר (JB-1295),אוניברסיטת תל אביב,תל אביב,2026-06-22,2026-06-28,https://www.tau.ac.il/JB-1295/position/2026,אגף משאבי אנוש,onsite,administrative,חיצוני,,
עובד/ת תחזוקה (JB-1306),אוניברסיטת תל אביב,תל אביב,2026-06-10,2026-06-28,https://www.tau.ac.il/JB-1306/position/2026,"הספרייה למדעי החברה, לניהול ולחינוך ע""ש ברנדר-מוס",onsite,administrative,חיצוני,,
"רכז/ת תלמידים לתארים מתקדמים החוג לסוציולוגיה ואנתרופולוגיה ביה""ס ללימודי חברה ומדיניות (JB-1318)",אוניברסיטת תל אביב,תל אביב,2026-06-16,2026-06-28,https://www.tau.ac.il/position/jb-1318/2026,הפקולטה למדעי החברה,onsite,administrative,חיצוני,,
רכז/ת מינהל בכיר/ה (JB-1323),אוניברסיטת תל אביב,תל אביב,2026-06-22,2026-06-28,https://www.tau.ac.il/JB-1323/position/2026,"הספרייה למדעי החברה, לניהול ולחינוך ע""ש ברנדר-מוס",onsite,administrative,חיצוני,,
מנהל/ת בקרה ותפעול דאטה סנטר (JB-1315),אוניברסיטת תל אביב,תל אביב,2026-06-22,2026-06-28,https://www.tau.ac.il/JB-1315/position/2025,אגף מחשוב וטכנולוגיות מידע,onsite,administrative,חיצוני,,
רכז/ת תלמידים (JB-1325),אוניברסיטת תל אביב,תל אביב,2026-06-10,2026-06-28,https://www.tau.ac.il/JB-1325/position/2026,הפקולטה למדעים מדויקים,onsite,administrative,חיצוני,,
מנהל/ת מדור עיצוב וגרפיקה (JB-1341),אוניברסיטת תל אביב,תל אביב,2026-06-16,2026-06-25,https://www.tau.ac.il/JB-1341/position/2026,האגף לתכנון אסטרטגי ולשיווק,onsite,administrative,חיצוני,,
